2023/07/04 17:05:54,,,íPà ÅFïb
num,example1,example2,example3
1,0.101757,0.100923,0.100855
2,0.100195,0.100784,0.101268
3,0.101015,0.100893,0.100874
4,0.100859,0.100772,0.100708
5,0.100739,0.100766,0.100288
6,0.100867,0.100893,0.10067
7,0.100745,0.100787,0.100375
8,0.100775,0.100887,0.101271
9,0.100905,0.100767,0.100895
10,0.100811,0.100786,0.100756

response
1,None,None,None
2,None,None,0.21911669667319655
3,None,None,None
4,None,None,None
5,None,None,0.6750689134715678
6,None,None,None
7,None,None,0.26599606139891396
8,None,None,0.7830303486915676
9,None,None,None
10,None,None,None
